TICKER,DELTA PL,DELTA DIV LIQ EBITDA,DELTA MARGEM LIQUIDA,VARIACAO PRECO
UMPQ,"12,11","71,96","1,3881","0,087"
ONTO,"-31,25","1,08","0,105","1,7337"
SBNY,"11,17","0,06007142857","0,0041","1,3687"
KE,"-12,48","1,66","-0,0166","0,2399"
FMTX,"20,56","0,06007142857","0,505","0,6354"
AXGN,"16,08","3,34","-0,0378","-0,4762"
OLN,"10,96","24,17","0,3139","2,4361"
RIG,"-0,55","0,56","-0,0368","-0,5988"
KIRK,"16,36","-4,32","0,1188","1,0403"
IP,"-28,5","-3,43","0,0671","0,0703"
OPCH,"398,26","-1,83","0,0434","0,9062"
FNHC,"0,8","0,46","-0,2389","-0,9152"
HY,"-30,97","-6,4","-0,0694","-0,3091"
CNX,"-0,6","0,06007142857","0,2642","0,5537"
AGYS,"-25,92","3,17","0,0588","0,7497"
NUS,"2,63","0,34","-0,0195","0,2384"
CHMG,0,"3,22","0,0657","0,0929"
W,"-273,43","2,74","-0,0227","1,1223"
IQV,"-67,45","-1,26","0,045","0,8386"
ANGI,"984,78","-18,19","-0,038","0,1017"
SCVL,"68,82","0,06007142857","-0,2522","1,0716"
RXT,"3,08","0,55","0,0183","-0,1475"
DOCU,"75,15","267,56","0,0465","1,0535"
SPRT,"180,08","45,12","-0,0955","0,4921"
EFSC,"-1,28","-3,07","0,088","-0,0185"
JOUT,"-8,95","1,08","0,505","0,2236"
POWL,"529,18","-5,75","-0,0353","-0,3957"
GKOS,"-13,99","0,06007142857","0,505","1,1016"
JLL,"-4,9","0,31","0,0184","0,5332"
QRTEA,"4,73","0,06007142857","0,505","0,4921"
OTRK,"-44,23","-2,32","-0,1673","3,075"
HRI,"-5,59","0,26","0,0667","0,3002"
